TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AACIU,,10.33,,-0.203,,,,,N/A,,,,,,,,,10.33,9.71,,,,,,,,,,,,
AACG,,1.48,,-0.23,25.00,,0.33428633,,-1.12,,,,,,,,,1.49,0.96,,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",7.66,undefined,-2.73,N/A,undefined,1.3625712,-5.647914551447903,3.00,37581344,-33142750,151174000,-47743184,6.186,1568000,1.1264705882352941,1.1294117647058823,7.68,6.8,0.0688,-1.356252813356795,24437000,USD,United States,198917184,buy,-0.607,undefined,undefined,Healthcare,Biotechnology
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAOI,"Applied Optoelectronics, Inc.",1.71,-48.29369747899161,-2.43,13.00,-28.24192835028749,0.29639608,10.147543789222286,-0.74,190924480,4919875,16103000,-35281432,0.552,156227008,1.1554054054054055,1.1486486486486487,1.7,1.48,0.108500004,0.16851368523446947,29195700,USD,United States,51384432,hold,-5.23,3.3490324838615155,1.9584985285739858,Technology,Communication Equipment
AAME,Atlantic American Corporation,2.23,undefined,0.14,N/A,undefined,0.4640999,1.327570910791535,,62154248,34212000,21876000,-23542856,1.074,38556000,1.061904761904762,1.0476190476190477,2.2,2.1,0.0121,1.6797596134962096,20367200,USD,United States,45418856,none,9.289,undefined,undefined,Financial Services,Insurance—Life
AACI,,10.27,,-0.51,,,,,N/A,,,,,,,,,10.27,8.56,,,,,,,,,,,,
AAL,,14.82,,2.76,109.97,,,,0.77,,,,,,,,,14.1014,11.65,,,,,,,,,,,,
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAON,"AAON, Inc.",91.42,41.689075630252105,2.2,12.00,0.45601701630116065,8.055679,-987.5125602787456,14.22,5051506176,-5022500,2515000,-4911152072,0.046,90983000,1.866476112699061,1.8409554920375666,90.17,48.98,0.0278,-0.09257603769029008,54252700,USD,United States,4913667072,buy,26.966,-1.7542770167361692,-0.019189203858413578,Industrials,Building Products & Equipment
ABCB,,31.04,,4.69,8.00,,0.6802143,,"Bancorp)  Altman Z-Score as of today (May 22, 2023) is ",,,,,,,,,30.915,28.33,,,,,,,,,,,,
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAXJ,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
ABEO,,3.1,,-2.94,N/A,,2.1456954,,-18.30,,,,,,,,,3.065,2.19,,,,,,,,,,,,
ABCM,Abcam plc,16.81,,-0.05,0.39,,5.248897,,6.48,,31137500,89000000,-3731304640,,223900000,1.346955128205128,1.326121794871795,16.55,12.48,,,,,,3820304640,,,,,,
