TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,PRICE TO CASH FLOW,ALTMAN Z-SCORE,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL CASH,TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES,PRICE/52 WEEK LOW,DAY LOW/52 WEEK LOW,DAY LOW,52 WEEK LOW,PERCENT SHORT OF FLOAT,CASH FLOW PER SHARE,SHARES OUTSTANDING,CURRENCY,COUNTRY,MARKET CAP,RECOMMENDATION KEY,ENTERPRISE VALUE/EBITDA,INTRINSIC_VALUE_BY_CASH_FLOW,MARGIN_OF_SAFETY_BY_CASH_FLOW,SECTOR,INDUSTRY
AACIW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
AACIU,,10.11,,-0.203,,,,,N/A,,,,,,,,,10.11,9.71,,,,,,,,,,,,
AADR,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AACG,ATA Creativity Global,1.9,,-0.22,25,,0.40906093,,-0.84,,5845843,54980200,-4628708,,36449192,2.159090909,2.074659091,1.8257,0.88,,,,,,59608908,,,,,,
AAL,,13.51,,2.75,109.97,,,,0.77,,,,,,,,,13.625,11.65,,,,,,,,,,,,
AAOI,,1.87,,-2.14,13,,0.2580595,,-0.4,,,,,,,,,1.6,1.48,,,,,,,,,,,,
AAON,,96.28,,2.2,12,,9.838971,,15.95,,,,,,,,,99.085,48.98,,,,,,,,,,,,
AAME,Atlantic American Corporation,2.2,undefined,0.14,N/A,undefined,0.4765869,1.309711212,,63579956,34212000,21876000,-24764888,1.074,38556000,1.047619048,1.048095238,2.201,2.1,0.0121,1.679759613,20367200,USD,United States,46640888,none,9.502,undefined,undefined,Financial Services,Insurance—Life
AAPB,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPD,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AAPU,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
AADI,"Aadi Bioscience, Inc.",7.78,undefined,-2.8,N/A,undefined,1.2419007,-6.185600827,3.07,25818770,-30735876,172560000,-24157856,7.061,1661000,1.144117647,1.142647059,7.77,6.8,0.0634,-1.25775979,24437000,USD,United States,196717856,buy,-0.439,undefined,undefined,Healthcare,Biotechnology
AACI,,10.12,,-0.5,,,,,N/A,,,,,,,,,10.12,8.56,,,,,,,,,,,,
AAXJ,,,,,,,,,Not Found!,,,,,,,,,,,,,,,,,,,,,,
ABCB,,29.65,,4.66,8,,0.64896697,,"Bancorp)  Altman Z-Score as of today (May 07, 2023) is ",,,,,,,,,30,28.33,,,,,,,,,,,,
AAPL,,165.79,,5.9,8.12,,54.61611,,8.39,,,,,,,,,170.76,124.17,,,,,,,,,,,,
ABNB,"Airbnb, Inc.",117.63,267.7400967,2.82,89.68,2.27612086,13.606445,18.63624992,5.26,68415287296,2602437376,9621999616,-65933586432,15.241,2340999936,1.43608839,1.427542425,116.93,81.91,0.0462,6.311892171,412307008,USD,United States,75555586048,buy,35.141,599.2718512,5.094549445,Consumer Cyclical,Travel Services
ABIO,"ARCA biopharma, Inc.",2.08,undefined,-0.56,N/A,undefined,0.7499111,-5.725913127,N/A,-10094803,-5234625,40850000,10451896,2.835,357000,1.124324324,1.113513514,2.06,1.85,0.0238,-0.363260838,14410100,USD,United States,30398104,none,1.234,undefined,undefined,Healthcare,Biotechnology
ABCM,Abcam plc,17.03,,-0.05,0.39,,5.4851923,,6.73,,31137500,89000000,-3903286976,,223900000,1.364583333,1.357371795,16.94,12.48,,,,,,3992286976,,,,,,
ABCL,,6.61,,0.45,10,,1.3933473,,5.28,,,,,,,,,5.77,5.42,,,,,,,,,,,,
ABEO,Abeona Therapeutics Inc.,3.26,undefined,-5.53,N/A,undefined,2.1721854,-2.946432554,-15.35,13563415,-19728624,52149000,-6336680,2.945,7627000,1.488584475,1.484018265,3.25,2.19,0.0387,-1.106422747,17831000,USD,United States,58485680,buy,-0.322,undefined,undefined,Healthcare,Biotechnology
ABVC,"ABVC Biopharma, Inc.",0.75,undefined,-0.58,N/A,undefined,8.523158,-12.59861342,-10.71,29953902,-1969306,161062,-26624382,0.005,3414883,1.5,1.44,0.72,0.5,0.0056,-0.059530361,33080700,USD,United States,26785444,hold,-1.985,undefined,undefined,Healthcare,Biotechnology
ACAB,,10.29,,0.02,,,,,N/A,,,,,,,,,10.29,9.79,,,,,,,,,,,,
ABOS,"Acumen Pharmaceuticals, Inc.",4.05,-24.992,-1.42,9.7,-6.170864198,1.1497501,-8.014713817,N/A,39522576,-20944124,177604992,-41650688,4.329,105000,1.341059603,1.347682119,4.07,3.02,0.0191,-0.505320601,41447200,USD,United States,219255680,strong_buy,-0.874,-8.893642572,-2.195961129,Healthcare,Biotechnology
ACABW,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
ABST,,8.41,,-0.56,N/A,,,,0.11,,,,,,,,,8.38,6.79,,,,,,,,,,,,
